"unit_id","billing_period","current_reading","previous_reading"
"101","2026-04-01","668.78","657.97"
"102","2026-04-01","794.28","783"
"103","2026-04-01","740.3","733.05"
"104","2026-04-01","922.26","906.83"
"105","2026-04-01","371.75","367.81"
"201","2026-04-01","862.79","849.58"
"202","2026-04-01","1180.36","1161.35"
"203","2026-04-01","349.15","343.91"
"204","2026-04-01","1078.13","1059.15"
"205","2026-04-01","1408.46","1384.93"
"301","2026-04-01","336.03","333.76"
"302","2026-04-01","732.73","724.94"
"304","2026-04-01","300.43","290.58"
"305","2026-04-01","506.3","501.46"
"401","2026-04-01","289.71","287.58"
"402","2026-04-01","651.72","639.65"
"403","2026-04-01","929.8","904.51"
"404","2026-04-01","1109.02","1087.09"
"405","2026-04-01","531.04","521.34"
"501","2026-04-01","1070.29","1056.53"
"502","2026-04-01","788.55","777.23"
"503","2026-04-01","867.34","853.07"
"504","2026-04-01","770.1","756.16"
"505","2026-04-01","445.86","436.51"
"601","2026-04-01","1380.89","1337.69"
"602","2026-04-01","1350.06","1323.7"
"603","2026-04-01","580.35","575.45"
"604","2026-04-01","2300.2","2266.72"
"605","2026-04-01","493.04","485.58"
"SS1","2026-04-01","735.2","726.15"
"SS2","2026-04-01","747.76","764.56"
"SS3","2026-04-01","500.65","500.65"
"SS4","2026-04-01","755.26","740.05"
"SS5","2026-04-01","675.43","654.55"
"Ayron","2026-04-01","79.232","72.71"
