"id_dpto","mes_periodo","lectura_actual","lectura_anterior"
"101","2026-04-01","668.78","0"
"102","2026-04-01","794.28","0"
"103","2026-04-01","740.3","0"
"104","2026-04-01","922.26","0"
"105","2026-04-01","371.75","0"
"201","2026-04-01","862.79","0"
"202","2026-04-01","1180.36","0"
"203","2026-04-01","349.15","0"
"204","2026-04-01","1078.13","0"
"205","2026-04-01","1408.46","0"
"301","2026-04-01","336.03","0"
"302","2026-04-01","732.73","0"
"304","2026-04-01","300.43","0"
"305","2026-04-01","506.3","0"
"401","2026-04-01","289.71","0"
"402","2026-04-01","651.72","0"
"403","2026-04-01","929.8","0"
"404","2026-04-01","1109.02","0"
"405","2026-04-01","531.04","0"
"501","2026-04-01","1070.29","0"
"502","2026-04-01","788.55","0"
"503","2026-04-01","867.34","0"
"504","2026-04-01","770.1","0"
"505","2026-04-01","445.86","0"
"601","2026-04-01","1380.89","0"
"602","2026-04-01","1350.06","0"
"603","2026-04-01","580.35","0"
"604","2026-04-01","2300.2","0"
"605","2026-04-01","493.04","0"
"Ayron","2026-04-01","79.232","0"
"SS1","2026-04-01","735.2","0"
"SS2","2026-04-01","747.76","0"
"SS3","2026-04-01","500.65","0"
"SS4","2026-04-01","755.26","0"
"SS5","2026-04-01","675.43","0"
