"Unidad","Lectura_Foto","Fecha_Captura","Estado_Dato"
"101","668.78","2026-05-20","Verificado_IA"
"102","794.28","2026-05-20","Verificado_IA"
"103","740.3","2026-05-20","Verificado_IA"
"104","922.26","2026-05-20","Verificado_IA"
"105","371.75","2026-05-20","Verificado_IA"
"201","862.79","2026-05-20","Verificado_IA"
"202","1180.36","2026-05-20","Verificado_IA"
"203","349.15","2026-05-20","Verificado_IA"
"204","1078.13","2026-05-20","Verificado_IA"
"205","1408.46","2026-05-20","Verificado_IA"
"301","336.03","2026-05-20","Verificado_IA"
"302","732.73","2026-05-20","Verificado_IA"
"304","300.43","2026-05-20","Verificado_IA"
"305","506.3","2026-05-20","Verificado_IA"
"401","289.71","2026-05-20","Verificado_IA"
"402","651.72","2026-05-20","Verificado_IA"
"403","929.8","2026-05-20","Verificado_IA"
"404","1109.02","2026-05-20","Verificado_IA"
"405","531.04","2026-05-20","Verificado_IA"
"501","1070.29","2026-05-20","Verificado_IA"
"502","788.55","2026-05-20","Verificado_IA"
"503","867.34","2026-05-20","Verificado_IA"
"504","770.1","2026-05-20","Verificado_IA"
"505","445.86","2026-05-20","Verificado_IA"
"601","1380.89","2026-05-20","Verificado_IA"
"602","1350.06","2026-05-20","Verificado_IA"
"603","580.35","2026-05-20","Verificado_IA"
"604","2300.2","2026-05-20","Verificado_IA"
"605","493.04","2026-05-20","Verificado_IA"
"Ayron","79.232","2026-05-20","Verificado_IA"
"SS1","735.2","2026-05-20","Verificado_IA"
"SS2","747.76","2026-05-20","Verificado_IA"
"SS3","500.65","2026-05-20","Verificado_IA"
"SS4","755.26","2026-05-20","Verificado_IA"
"SS5","675.43","2026-05-20","Verificado_IA"
